UTM180920201,UTM180920202
560604.501176056,8760386.59913908
560604.289296054,8760386.13074746
560604.389148244,8760385.97913583
560604.405272225,8760385.8681726
560604.324268525,8760385.7189898
560604.32914938,8760385.4845657
560604.235814644,8760385.27891517
560604.240685779,8760385.08918776
560604.214435619,8760384.87560688
560604.088911039,8760384.62370263
560604.026158417,8760384.45305381
560603.931755065,8760384.22500306
560603.785822832,8760384.03915777
560603.686616079,8760383.68795756
560603.538585443,8760383.27852502
560603.461884376,8760383.08485318
560603.403424841,8760382.91441199
560603.331565724,8760382.66510284
560603.16098068,8760382.32162548
560603.170154539,8760382.08740897
560603.176084322,8760381.96477851
560603.056931587,8760382.02606264
560603.091855407,8760381.83778843
560603.124632599,8760381.64941042
560603.158478292,8760381.48343267
560603.129551752,8760381.23619953
560603.250918739,8760380.86214233
560603.376030339,8760380.54413766
560603.347642874,8760380.2857563
560603.294025151,8760380.0596778
560603.307482642,8760379.87036559
560603.357433004,8760379.68281799
560603.368743863,8760379.49340198
560603.314057598,8760379.24492324
560603.34362936,8760378.98934449
560603.333993588,8760378.87713564
560603.319005675,8760378.69762225
560603.278787489,8760378.55041173
560603.216563807,8760378.41331143
560603.122708454,8760378.12941581
560603.045506386,8760377.76810542
560603.048779312,8760377.52242929
560603.159345879,8760377.46072996
560603.140045355,8760377.37040236
560603.116990608,8760377.26871894
560603.098758583,8760377.20079159
560602.995190248,8760377.16226072
560603.068782597,8760376.84176482
560603.10320593,8760376.48585205
560603.14246163,8760376.11899865
560602.966455944,8760376.02109365
560603.204791381,8760375.76443528
560603.369082058,8760375.43715079
560603.348212454,8760375.15678438
560603.399202547,8760375.12572712
560603.506544542,8760375.08622046
560603.726080208,8760374.90687316
560603.891920792,8760374.85902094
560604.154418487,8760374.54765965
560604.249448726,8760374.36229193
560604.329981865,8760374.20974608
560604.31337674,8760374.06367734
560604.266689539,8760374.05024547
560604.203926614,8760373.92429334
560604.17926429,8760373.81135787
560604.192163499,8760373.72258729
560604.227058626,8760373.6684032
560604.119784062,8760373.39503292
560604.17617466,8760373.20779676
560604.291574022,8760373.1351569
